Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
20770,64,64,60,COL,Sebastian,J,1.9884,103.4,52,-37.94,37.36,65,23,6th June 2021,
13497,65,65,272,KOR,Kyoung-Hoon,Lee,1.9878,103.37,52,-16.35,88.79,66,23,6th June 2021,
12423,66,68,265,USA,Chris,Kirk,1.9616,78.47,40,-10.88,63.97,35,23,6th June 2021,
15556,67,66,49,CAN,Mackenzie,Hughes,1.9535,101.58,52,-38.69,24.94,57,23,6th June 2021,
18580,68,70,81,USA,Talor,Gooch,1.9377,100.76,52,-28.05,48.58,55,23,6th June 2021,
15330,69,67,63,USA,Lanto,Griffin,1.8968,98.63,52,-39.19,35.13,64,23,6th June 2021,
9771,70,69,43,AUS,Jason,Day,1.8794,90.21,48,-46.16,20.28,48,23,6th June 2021,
11952,71,90,126,RSA,Branden,Grace,1.8761,97.56,52,-29.55,59.77,57,23,6th June 2021,
12808,72,71,156,ARG,Emiliano,Grillo,1.8343,95.38,52,-22.29,63.82,58,23,6th June 2021,
13872,73,72,131,USA,Keegan,Bradley,1.833,95.32,52,-29.61,59.87,54,23,6th June 2021,
14013,74,73,103,USA,Cameron,Tringale,1.8237,93.01,51,-21.33,51.03,51,23,6th June 2021,
14509,75,74,64,USA,Joel,Dahmen,1.7719,92.14,52,-39.89,32.52,57,23,6th June 2021,
18770,76,78,120,FRA,Antoine,Rozner,1.7567,91.35,52,-22.65,46.81,54,23,6th June 2021,
19190,77,75,114,JPN,Rikuya,Hoshino,1.7115,68.46,40,-24.66,33.33,39,23,6th June 2021,
15326,78,76,58,ENG,Andy,Sullivan,1.696,81.41,48,-32.08,13.57,48,23,6th June 2021,
16602,79,80,130,USA,Harold,Varner,1.668,86.74,52,-25.86,47.78,54,23,6th June 2021,
11019,80,82,122,USA,Brendan,Steele,1.659,79.63,48,-23.23,40.09,48,23,6th June 2021,
15193,81,77,152,RSA,Daniel,van,1.6468,70.81,43,-17.06,39.53,43,23,6th June 2021,
15004,82,79,74,USA,Chan,Kim,1.6467,65.87,40,-25.98,21.13,39,23,6th June 2021,
15473,83,84,62,USA,Adam,Long,1.6411,85.34,52,-39.1,13.77,63,23,6th June 2021,
19729,84,81,123,JPN,Takumi,Kanaya,1.6267,65.07,40,-14.83,26.53,22,23,6th June 2021,
18524,85,83,99,USA,John,Catlin,1.623,82.77,51,-23.21,29.76,51,23,6th June 2021,
19866,86,85,101,ENG,Sam,Horsfield,1.5711,69.13,44,-22.67,24.73,44,23,6th June 2021,
12965,87,101,53,USA,Rickie,Fowler,1.551,72.9,47,-51.13,31.17,47,23,6th June 2021,
17550,88,86,51,RSA,Erik,van,1.5463,80.41,52,-47.26,15.28,57,23,6th June 2021,
11955,89,87,68,RSA,Dylan,Frittelli,1.5456,80.37,52,-33.92,14.42,59,23,6th June 2021,
14181,90,110,83,BEL,Thomas,Detry,1.5163,78.85,52,-29.81,23.78,54,23,6th June 2021,
14424,91,88,182,RSA,Dean,Burmester,1.516,78.83,52,-17.67,46.16,58,23,6th June 2021,
15229,92,89,199,RSA,Brandon,Stone,1.5014,78.07,52,-16.56,48.06,52,23,6th June 2021,
10419,93,103,94,SWE,Alex,Noren,1.4998,77.99,52,-29.09,29.8,55,23,6th June 2021,
17064,94,100,70,AUS,Lucas,Herbert,1.4883,59.53,40,-25.92,10.82,37,23,6th June 2021,
12920,95,93,67,ENG,Danny,Willett,1.4792,76.92,52,-46.57,22.39,55,23,6th June 2021,
9586,96,92,85,SCO,Martin,Laird,1.478,67.99,46,-21.46,19.8,46,23,6th June 2021,
21554,97,91,72,USA,J.T.,Poston,1.4575,75.79,52,-40.62,22.75,60,23,6th June 2021,
22051,98,121,125,USA,Aaron,Wise,1.4481,69.51,48,-19.12,28.99,48,23,6th June 2021,
13965,99,94,78,CAN,Adam,Hadwin,1.4232,71.16,50,-35.59,29.59,50,23,6th June 2021,
8117,100,95,79,GER,Martin,Kaymer,1.4204,62.5,44,-30.92,15.07,44,23,6th June 2021,
14140,101,97,121,USA,Harry,Higgs,1.4195,73.81,52,-26.3,30.62,62,23,6th June 2021,
13944,102,96,84,BEL,Thomas,Pieters,1.4172,56.69,40,-29.33,17.84,40,23,6th June 2021,
10884,103,102,92,RSA,George,Coetzee,1.4051,67.44,48,-28.11,16.51,48,23,6th June 2021,
12734,104,99,219,AUS,Jason,Scrivener,1.3868,67.95,49,-19.37,45.59,49,23,6th June 2021,
18554,105,98,77,ENG,Aaron,Rai,1.3835,65.03,47,-26.53,8.87,47,23,6th June 2021,
17357,106,107,203,ITA,Guido,Migliozzi,1.3799,64.86,47,-21,47.22,47,23,6th June 2021,
18634,107,105,166,USA,Maverick,McNealy,1.3653,71,52,-18.09,37.26,58,23,6th June 2021,
13470,108,106,236,USA,Patton,Kizzire,1.3646,70.96,52,-14.22,47.8,53,23,6th June 2021,
21891,109,107,133,USA,Kurt,Kitayama,1.3471,61.97,46,-27.57,34.42,46,23,6th June 2021,
7398,110,117,206,RSA,Charl,Schwartzel,1.3407,53.63,40,-12,31.77,39,23,6th June 2021,
23542,111,109,71,USA,Cameron,Champ,1.3384,69.6,52,-33.46,10.62,52,23,6th June 2021,
7399,112,115,110,USA,Lucas,Glover,1.3318,69.25,52,-32.21,31.24,57,23,6th June 2021,
23816,113,104,69,FIN,Sami,Valimaki,1.3303,57.2,43,-21.37,3.84,43,23,6th June 2021,
19364,114,112,150,USA,Richy,Werenski,1.3277,69.04,52,-20.09,31.53,56,23,6th June 2021,
14120,115,119,162,FIN,Kalle,Samooja,1.313,60.4,46,-17.92,28.86,46,23,6th June 2021,
23838,116,111,87,DEN,Rasmus,Hojgaard,1.3127,68.26,52,-24.38,21.3,52,23,6th June 2021,
6516,117,118,192,ENG,Richard,Bland,1.3121,65.6,50,-14.59,37.64,50,23,6th June 2021,
12946,118,113,106,USA,Michael,Thompson,1.311,65.55,50,-26.04,26.96,50,23,6th June 2021,
15016,119,114,109,AUT,Matthias,Schwab,1.2997,67.58,52,-28.98,25.85,53,23,6th June 2021,
